outer_fold,inner_basket,n_fit_ids,fit_ids_sha256,n_inner_validation_ids,inner_validation_ids_sha256,n_outer_test_ids,outer_test_ids_sha256
3,4,5115,30f5297b21c0efc1b5aa0bdb927d214d678c6f7a69e1600a82fb8afdb1bc0cd6,262,54b2cd0679f627d23da836daca5a33698b32b5edf7a49f7d8bb52a47a9c12032,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0
4,1,2874,32ccd20256d81d1a54bda3f07c892ed5618d9a685c9b031dbdd4f745c965d1e9,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,11,71782dc5e7840bbbeb8603d573af4e85ac944cf7506cb96959134e33537d1ad1
4,2,5366,50779f0efe53be06738ae207b43e9952a69a38f7a3358ed8c15b02f4360bdaa1,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,11,71782dc5e7840bbbeb8603d573af4e85ac944cf7506cb96959134e33537d1ad1
4,3,6042,cee5f02ef4d04d213d900759c2048f824fb9cae422936ac3ba6f81289b4ad546,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,11,71782dc5e7840bbbeb8603d573af4e85ac944cf7506cb96959134e33537d1ad1
4,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,514,89c1d5f1fb31f02b25df9cf21a8c45ce1baeb134dc9ff2e3af7ea1dcadb6fdf5,11,71782dc5e7840bbbeb8603d573af4e85ac944cf7506cb96959134e33537d1ad1
5,1,1367,b890ee4fa06d994c5add4846685c758f03d06d7786803cc3f45534dce998112a,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1
5,2,2043,6845f99473f78c2072ece4a29b3fcaf139af94774600822e55e2994e7e8f5bb0,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1
5,3,2622,d2246777c846d9d104116d83126625eefa2bbe21006bb6833aca8aa5c9eb3a97,263,6db06673c91c6fde7d56e5c47192c2d3086e8d22e303637ee35ecba3dd5d6a8f,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1
5,4,2623,98ab1e43ed4705419ec1b15bda96454b219f6a7ecf29b3e31472ef83f4f00c30,262,54b2cd0679f627d23da836daca5a33698b32b5edf7a49f7d8bb52a47a9c12032,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1
6,1,2882,7344958209618f3fe354a70e459677f3b385dc8b9285df7cc96573f950ffc2d0,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,3,d0f42f19d7b379cef3e9e1b4f8038ccb34b7a21017c022726d42d1b3217abd11
6,2,5374,14db56ffd917e8e8a070cf2aa9e15a74ab848dba3fa216de4a557f336b85717a,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,3,d0f42f19d7b379cef3e9e1b4f8038ccb34b7a21017c022726d42d1b3217abd11
6,3,6050,c40beee5d2be491c497940b1d81e19f84a4c885c236fef8452f7a3089b436b40,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,3,d0f42f19d7b379cef3e9e1b4f8038ccb34b7a21017c022726d42d1b3217abd11
6,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,522,9a330231a911704dda8dfedc937622db801d4dfcc5d1be7ef82b3f2f8e518525,3,d0f42f19d7b379cef3e9e1b4f8038ccb34b7a21017c022726d42d1b3217abd11
7,1,2043,6845f99473f78c2072ece4a29b3fcaf139af94774600822e55e2994e7e8f5bb0,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc
7,2,4535,86fe2660911eb6fa164120044484a7a86683361c37f75fb30a41d909be54be10,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc
7,3,5790,f468ae431e45f17adca55778c7a829c37b171d35ae7a387ed26e10bcbb5dcd88,263,6db06673c91c6fde7d56e5c47192c2d3086e8d22e303637ee35ecba3dd5d6a8f,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc
7,4,5791,5caa7990a7ec267580adef9e987df6f0eb416b886c76cb2c0c876e62c4bd2815,262,54b2cd0679f627d23da836daca5a33698b32b5edf7a49f7d8bb52a47a9c12032,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc
8,1,2881,7821783f8922120c23f12e173f0a6b2e1a9c73bc5ddcd1dfa01a76be11e3ab10,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,4,50430c6ffebb16b7182c0a5d5ba3773af83421a3d6447146650a198f9a83e7ec
8,2,5373,c3804f440cad11fdd37a6280e05394b78b229b50ce8cfe29653704c0e0f82521,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,4,50430c6ffebb16b7182c0a5d5ba3773af83421a3d6447146650a198f9a83e7ec
8,3,6049,b72b0b45a434a37d74dfdca72b0406147e95f7cc70d3d1153f12f1eaee388dca,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,4,50430c6ffebb16b7182c0a5d5ba3773af83421a3d6447146650a198f9a83e7ec
8,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,521,0016e2897487520ac345666e77c8c4cddb7dbd177b2269d3167ebf779c298e78,4,50430c6ffebb16b7182c0a5d5ba3773af83421a3d6447146650a198f9a83e7ec
9,1,2849,9c785dff632a7ac1da54f66f53d0d3d2843051946de460b39a7289fed85d4254,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,36,2c64af8d5bea903bd16ff6b1029553f2f8926b99d2eb5dc6971edcd8ce69e845
9,2,5341,24679871485ca63b4592d0dc2d009efce72f93f1d2f9a29189098f60c454459d,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,36,2c64af8d5bea903bd16ff6b1029553f2f8926b99d2eb5dc6971edcd8ce69e845
9,3,6017,fe6ae354fcf8cf6a297f7fe43cd831bb7e29d132380579fce532a86e56da5dd1,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,36,2c64af8d5bea903bd16ff6b1029553f2f8926b99d2eb5dc6971edcd8ce69e845
9,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,489,6663b790a4ca8ed3abbd6b111c8db30e752049aeda68ccda28bd2a87fd3a38a0,36,2c64af8d5bea903bd16ff6b1029553f2f8926b99d2eb5dc6971edcd8ce69e845
10,1,2867,9075a92a8b5edbb4b60472a1f79a96ed65bbaa75e424b087fd301c5f5b838417,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,18,837e7a548650f371aeee0b76d46c03204dc41ad3b16ceefec16024dbd2d07932
10,2,5359,ddbba263410343f60e41cedd6ea13e2059540bb3fa019ef5c754564f56bff87b,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,18,837e7a548650f371aeee0b76d46c03204dc41ad3b16ceefec16024dbd2d07932
10,3,6035,ccafc6b6bf323980c2ecc220ce5af6f302e63ae32f56bcd0a35b4c0a0bc2f7e4,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,18,837e7a548650f371aeee0b76d46c03204dc41ad3b16ceefec16024dbd2d07932
10,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,507,08538c5ea6091d34666675c7fa6082a07bf3fed86384b318966937d643d24387,18,837e7a548650f371aeee0b76d46c03204dc41ad3b16ceefec16024dbd2d07932
11,1,2868,f8901a2d07b2fca03402e02a67f9af6a603c59e0f9d62694ebf238cf8c213610,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,17,4b86a38bc3cf561767b3b5bc297ac623eba42d81f773bbc1ac9ba3d7186cd7e1
11,2,5360,3d07231899afa1ffc44eb207991fa968f6e22d1a1c09f63ea69748e59760ba2a,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,17,4b86a38bc3cf561767b3b5bc297ac623eba42d81f773bbc1ac9ba3d7186cd7e1
11,3,6036,85cc1f93ed5f1d5c80665a289ea2f0c7f5b1847c13da0c80c035164f809e2392,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,17,4b86a38bc3cf561767b3b5bc297ac623eba42d81f773bbc1ac9ba3d7186cd7e1
11,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,508,89568439b4ca80737fea4ad7ea54695fb1d327e8a81acc589b8d06e324be020d,17,4b86a38bc3cf561767b3b5bc297ac623eba42d81f773bbc1ac9ba3d7186cd7e1
12,1,2780,7f8e563a2d046c547b1f8cf9cb5ee083be5e9ea61caea23e3b9bc8090c6b2f6f,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,105,b976526376eaf974cec5e3d2cc305677543bb35149fa6ac7835a5b41cdf0bf70
12,2,5272,edede6e8c1b81d99c4a07237395e92602f311229de39e33643b4f176de767246,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,105,b976526376eaf974cec5e3d2cc305677543bb35149fa6ac7835a5b41cdf0bf70
12,3,5948,1c42a8d14afab2675f664614c8e3adbd939f6eff6d4e704a1ba800934257951e,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,105,b976526376eaf974cec5e3d2cc305677543bb35149fa6ac7835a5b41cdf0bf70
12,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,420,d9251233a2dcb8f179abfb700d14926ec002bf430e95e5789d81e70f5f1085e3,105,b976526376eaf974cec5e3d2cc305677543bb35149fa6ac7835a5b41cdf0bf70
13,1,2875,39594378804828d757af4a039bdffb45354bb9d9516291f14b428f4de55f87de,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,10,9feb9a2e447639a4a360d3715f8e5ff93417fedc83b3a4682bc370d261818be2
13,2,5367,2c8be3dd88b9a7f3248ed204cbcf8ec40c21e0b0e7e1a5bb0efa3c6ea8b84ecf,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,10,9feb9a2e447639a4a360d3715f8e5ff93417fedc83b3a4682bc370d261818be2
13,3,6043,8b2796851015a2317534d0bc1307a067d656670431c39113596e9595a9900c02,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,10,9feb9a2e447639a4a360d3715f8e5ff93417fedc83b3a4682bc370d261818be2
13,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,515,6d3d27c5f4e86df0de59f895ae07fb3184cac6c0bc5e009b27d44df8118443ae,10,9feb9a2e447639a4a360d3715f8e5ff93417fedc83b3a4682bc370d261818be2
14,1,2877,d9bfa43de718901950f03b210c2337585069cdbd11814a8bc1ce66ac009c1b24,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,8,42f2e4c69b6b0a75cbedaae25ca19edadf094d6e69174fa1ee18151cd8ad5361
14,2,5369,02cd6a30e4375e52de287eb852498e4d8bdc21e5ca6211cbc90c25f50fddbdea,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,8,42f2e4c69b6b0a75cbedaae25ca19edadf094d6e69174fa1ee18151cd8ad5361
14,3,6045,475ada04cf7c91c587ee48304dbef8a2a87cadcda94d65d82d9eddbc58baa0d6,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,8,42f2e4c69b6b0a75cbedaae25ca19edadf094d6e69174fa1ee18151cd8ad5361
14,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,517,41667a6c8d1a221157e5513f506eb1e3ad99fbc91ebd254801e0318fbb0010d7,8,42f2e4c69b6b0a75cbedaae25ca19edadf094d6e69174fa1ee18151cd8ad5361
15,1,2636,8c824c8ea7add1449e0b3edea969c8bf6890211e3aaeb42c78a90efada6b5baa,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,249,5a9482c3d4851fdc05f30e5cf7e5d588af746cbc480fc7debfdb78ef1d02cd86
15,2,5128,dc04f77c21044585f61122c4af5f447969a6f653dc082b24d403ed7fd88b90a4,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,249,5a9482c3d4851fdc05f30e5cf7e5d588af746cbc480fc7debfdb78ef1d02cd86
15,3,5804,f103b3829fcd07edc806728ce520ef5ea2562fa5f95011243ec4eb59e5b35d6a,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,249,5a9482c3d4851fdc05f30e5cf7e5d588af746cbc480fc7debfdb78ef1d02cd86
15,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,276,fab24ba5a084cd20c2e51abbc2defa6d78d0ea4fafd3566a8415cd51bba8b344,249,5a9482c3d4851fdc05f30e5cf7e5d588af746cbc480fc7debfdb78ef1d02cd86
16,1,2867,77752bbc2a62c41fbe876a9e15ff6de120ad781c63a826b9173d5468266a6e12,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,18,4c8198f2b72bc85ae1924ec2c6e0b139e8becf77cb22845872f73db9c2a17c2f
16,2,5359,f75bfee107c0e3704c9095d1b4f09234b167c3b8ce0797c4a1c586ed4b342f5b,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,18,4c8198f2b72bc85ae1924ec2c6e0b139e8becf77cb22845872f73db9c2a17c2f
16,3,6035,31cb185edefdb2844cb47738f361ea4467b763494634d678f396fb80bfca195a,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,18,4c8198f2b72bc85ae1924ec2c6e0b139e8becf77cb22845872f73db9c2a17c2f
16,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,507,8bd8684d87558a72ede0345059103785d591c7ea46819a9de263b05b403082f4,18,4c8198f2b72bc85ae1924ec2c6e0b139e8becf77cb22845872f73db9c2a17c2f
17,1,2878,cc5e05bd89009b8213fa5b567e4a73faf94399a4369f51092f8c9a58617f37e1,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,7,07774d4bad8a92e9950a7de21b75c2ed50e95f028fd12c371ec0989233efb9e7
17,2,5370,f4d13d1302fb27f2b14fcfaa2ba0fe143b3586ada13b92a7d1b11517d234eabf,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,7,07774d4bad8a92e9950a7de21b75c2ed50e95f028fd12c371ec0989233efb9e7
17,3,6046,631aab6cdbcf1bcb2eaba5f64c502f00de11fb4066e56bef6ca257c4becd738f,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,7,07774d4bad8a92e9950a7de21b75c2ed50e95f028fd12c371ec0989233efb9e7
17,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,518,09eeb7600a18a7efc41e55794fd80b61ed2bf8081f20af96e726db16928339a5,7,07774d4bad8a92e9950a7de21b75c2ed50e95f028fd12c371ec0989233efb9e7
18,1,2878,38055755816991357405b03c9fc5ffe2c903d874f9f84a2f113606d720591165,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,7,f33b53f93328cf9eda8d8dba673d2a00ded988f569140f75c49382a9129d9404
18,2,5370,829d81935a2facf95cc723c22c7bccf824643db9656cda2e7f136d025c7920fc,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,7,f33b53f93328cf9eda8d8dba673d2a00ded988f569140f75c49382a9129d9404
18,3,6046,47f24ebd9bccb9bcc24caefcb366d0cefb1608c5f6ff72026a4d7d5adfea5f81,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,7,f33b53f93328cf9eda8d8dba673d2a00ded988f569140f75c49382a9129d9404
18,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,518,c9680842ab578e490bbde776b2d2cfc8cdfca1bc5c7f5c7d7c1aca69a7f9bb9e,7,f33b53f93328cf9eda8d8dba673d2a00ded988f569140f75c49382a9129d9404
