outer_fold,outer_test_block,sealed_block_id,role,n_curated_rows,n_sources,n_analogue_components
7,BLOCK-5c361cba45039733,BLOCK-4acd8e0f532c9eb9,train,11,1,1
7,BLOCK-5c361cba45039733,BLOCK-513383ed86a73488,train,4010,20,162
7,BLOCK-5c361cba45039733,BLOCK-5930edb067c8c52f,train,3,1,1
7,BLOCK-5c361cba45039733,BLOCK-5c361cba45039733,test,842,1,112
7,BLOCK-5c361cba45039733,BLOCK-5ddb30f65478f699,train,4,1,3
7,BLOCK-5c361cba45039733,BLOCK-5f91132e1b252609,train,36,1,1
7,BLOCK-5c361cba45039733,BLOCK-8dbd1f0100199b32,train,18,1,1
7,BLOCK-5c361cba45039733,BLOCK-ad504a636f9fcddf,train,17,1,2
7,BLOCK-5c361cba45039733,BLOCK-bb4bcb852b735057,train,105,3,5
7,BLOCK-5c361cba45039733,BLOCK-bb889e938c0a001a,train,10,1,2
7,BLOCK-5c361cba45039733,BLOCK-c1585d53eda9a867,train,8,2,2
7,BLOCK-5c361cba45039733,BLOCK-c5e520eb3b94ff25,train,249,2,1
7,BLOCK-5c361cba45039733,BLOCK-d0fe24e9c28856d1,train,18,1,3
7,BLOCK-5c361cba45039733,BLOCK-e729b0aa52978c75,train,7,1,2
7,BLOCK-5c361cba45039733,BLOCK-fc0b343dfac9ab9d,train,7,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-2c0090ee1dd5b17e,train,16,1,2
8,BLOCK-5ddb30f65478f699,BLOCK-394ff80f01cbc968,train,16,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-4494eb5738fce47c,train,1518,1,3
8,BLOCK-5ddb30f65478f699,BLOCK-4acd8e0f532c9eb9,train,11,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-513383ed86a73488,train,4010,20,162
8,BLOCK-5ddb30f65478f699,BLOCK-5930edb067c8c52f,train,3,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-5c361cba45039733,train,842,1,112
8,BLOCK-5ddb30f65478f699,BLOCK-5ddb30f65478f699,test,4,1,3
8,BLOCK-5ddb30f65478f699,BLOCK-5f91132e1b252609,train,36,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-8dbd1f0100199b32,train,18,1,1
8,BLOCK-5ddb30f65478f699,BLOCK-ad504a636f9fcddf,train,17,1,2
8,BLOCK-5ddb30f65478f699,BLOCK-bb4bcb852b735057,train,105,3,5
8,BLOCK-5ddb30f65478f699,BLOCK-bb889e938c0a001a,train,10,1,2
8,BLOCK-5ddb30f65478f699,BLOCK-c1585d53eda9a867,train,8,2,2
8,BLOCK-5ddb30f65478f699,BLOCK-c5e520eb3b94ff25,train,249,2,1
8,BLOCK-5ddb30f65478f699,BLOCK-d0fe24e9c28856d1,train,18,1,3
8,BLOCK-5ddb30f65478f699,BLOCK-e729b0aa52978c75,train,7,1,2
8,BLOCK-5ddb30f65478f699,BLOCK-fc0b343dfac9ab9d,train,7,1,1
9,BLOCK-5f91132e1b252609,BLOCK-2c0090ee1dd5b17e,train,16,1,2
9,BLOCK-5f91132e1b252609,BLOCK-394ff80f01cbc968,train,16,1,1
9,BLOCK-5f91132e1b252609,BLOCK-4494eb5738fce47c,train,1518,1,3
9,BLOCK-5f91132e1b252609,BLOCK-4acd8e0f532c9eb9,train,11,1,1
9,BLOCK-5f91132e1b252609,BLOCK-513383ed86a73488,train,4010,20,162
9,BLOCK-5f91132e1b252609,BLOCK-5930edb067c8c52f,train,3,1,1
9,BLOCK-5f91132e1b252609,BLOCK-5c361cba45039733,train,842,1,112
9,BLOCK-5f91132e1b252609,BLOCK-5ddb30f65478f699,train,4,1,3
9,BLOCK-5f91132e1b252609,BLOCK-5f91132e1b252609,test,36,1,1
9,BLOCK-5f91132e1b252609,BLOCK-8dbd1f0100199b32,train,18,1,1
9,BLOCK-5f91132e1b252609,BLOCK-ad504a636f9fcddf,train,17,1,2
9,BLOCK-5f91132e1b252609,BLOCK-bb4bcb852b735057,train,105,3,5
9,BLOCK-5f91132e1b252609,BLOCK-bb889e938c0a001a,train,10,1,2
9,BLOCK-5f91132e1b252609,BLOCK-c1585d53eda9a867,train,8,2,2
9,BLOCK-5f91132e1b252609,BLOCK-c5e520eb3b94ff25,train,249,2,1
9,BLOCK-5f91132e1b252609,BLOCK-d0fe24e9c28856d1,train,18,1,3
9,BLOCK-5f91132e1b252609,BLOCK-e729b0aa52978c75,train,7,1,2
9,BLOCK-5f91132e1b252609,BLOCK-fc0b343dfac9ab9d,train,7,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-2c0090ee1dd5b17e,train,16,1,2
10,BLOCK-8dbd1f0100199b32,BLOCK-394ff80f01cbc968,train,16,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-4494eb5738fce47c,train,1518,1,3
10,BLOCK-8dbd1f0100199b32,BLOCK-4acd8e0f532c9eb9,train,11,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-513383ed86a73488,train,4010,20,162
10,BLOCK-8dbd1f0100199b32,BLOCK-5930edb067c8c52f,train,3,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-5c361cba45039733,train,842,1,112
10,BLOCK-8dbd1f0100199b32,BLOCK-5ddb30f65478f699,train,4,1,3
10,BLOCK-8dbd1f0100199b32,BLOCK-5f91132e1b252609,train,36,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-8dbd1f0100199b32,test,18,1,1
10,BLOCK-8dbd1f0100199b32,BLOCK-ad504a636f9fcddf,train,17,1,2
10,BLOCK-8dbd1f0100199b32,BLOCK-bb4bcb852b735057,train,105,3,5
10,BLOCK-8dbd1f0100199b32,BLOCK-bb889e938c0a001a,train,10,1,2
10,BLOCK-8dbd1f0100199b32,BLOCK-c1585d53eda9a867,train,8,2,2
10,BLOCK-8dbd1f0100199b32,BLOCK-c5e520eb3b94ff25,train,249,2,1
10,BLOCK-8dbd1f0100199b32,BLOCK-d0fe24e9c28856d1,train,18,1,3
10,BLOCK-8dbd1f0100199b32,BLOCK-e729b0aa52978c75,train,7,1,2
10,BLOCK-8dbd1f0100199b32,BLOCK-fc0b343dfac9ab9d,train,7,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-2c0090ee1dd5b17e,train,16,1,2
11,BLOCK-ad504a636f9fcddf,BLOCK-394ff80f01cbc968,train,16,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-4494eb5738fce47c,train,1518,1,3
11,BLOCK-ad504a636f9fcddf,BLOCK-4acd8e0f532c9eb9,train,11,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-513383ed86a73488,train,4010,20,162
11,BLOCK-ad504a636f9fcddf,BLOCK-5930edb067c8c52f,train,3,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-5c361cba45039733,train,842,1,112
11,BLOCK-ad504a636f9fcddf,BLOCK-5ddb30f65478f699,train,4,1,3
11,BLOCK-ad504a636f9fcddf,BLOCK-5f91132e1b252609,train,36,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-8dbd1f0100199b32,train,18,1,1
11,BLOCK-ad504a636f9fcddf,BLOCK-ad504a636f9fcddf,test,17,1,2
11,BLOCK-ad504a636f9fcddf,BLOCK-bb4bcb852b735057,train,105,3,5
11,BLOCK-ad504a636f9fcddf,BLOCK-bb889e938c0a001a,train,10,1,2
11,BLOCK-ad504a636f9fcddf,BLOCK-c1585d53eda9a867,train,8,2,2
11,BLOCK-ad504a636f9fcddf,BLOCK-c5e520eb3b94ff25,train,249,2,1
11,BLOCK-ad504a636f9fcddf,BLOCK-d0fe24e9c28856d1,train,18,1,3
11,BLOCK-ad504a636f9fcddf,BLOCK-e729b0aa52978c75,train,7,1,2
11,BLOCK-ad504a636f9fcddf,BLOCK-fc0b343dfac9ab9d,train,7,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-2c0090ee1dd5b17e,train,16,1,2
12,BLOCK-bb4bcb852b735057,BLOCK-394ff80f01cbc968,train,16,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-4494eb5738fce47c,train,1518,1,3
12,BLOCK-bb4bcb852b735057,BLOCK-4acd8e0f532c9eb9,train,11,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-513383ed86a73488,train,4010,20,162
12,BLOCK-bb4bcb852b735057,BLOCK-5930edb067c8c52f,train,3,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-5c361cba45039733,train,842,1,112
12,BLOCK-bb4bcb852b735057,BLOCK-5ddb30f65478f699,train,4,1,3
12,BLOCK-bb4bcb852b735057,BLOCK-5f91132e1b252609,train,36,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-8dbd1f0100199b32,train,18,1,1
12,BLOCK-bb4bcb852b735057,BLOCK-ad504a636f9fcddf,train,17,1,2
12,BLOCK-bb4bcb852b735057,BLOCK-bb4bcb852b735057,test,105,3,5
12,BLOCK-bb4bcb852b735057,BLOCK-bb889e938c0a001a,train,10,1,2
12,BLOCK-bb4bcb852b735057,BLOCK-c1585d53eda9a867,train,8,2,2
12,BLOCK-bb4bcb852b735057,BLOCK-c5e520eb3b94ff25,train,249,2,1
12,BLOCK-bb4bcb852b735057,BLOCK-d0fe24e9c28856d1,train,18,1,3
12,BLOCK-bb4bcb852b735057,BLOCK-e729b0aa52978c75,train,7,1,2
12,BLOCK-bb4bcb852b735057,BLOCK-fc0b343dfac9ab9d,train,7,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-2c0090ee1dd5b17e,train,16,1,2
13,BLOCK-bb889e938c0a001a,BLOCK-394ff80f01cbc968,train,16,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-4494eb5738fce47c,train,1518,1,3
13,BLOCK-bb889e938c0a001a,BLOCK-4acd8e0f532c9eb9,train,11,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-513383ed86a73488,train,4010,20,162
13,BLOCK-bb889e938c0a001a,BLOCK-5930edb067c8c52f,train,3,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-5c361cba45039733,train,842,1,112
13,BLOCK-bb889e938c0a001a,BLOCK-5ddb30f65478f699,train,4,1,3
13,BLOCK-bb889e938c0a001a,BLOCK-5f91132e1b252609,train,36,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-8dbd1f0100199b32,train,18,1,1
13,BLOCK-bb889e938c0a001a,BLOCK-ad504a636f9fcddf,train,17,1,2
13,BLOCK-bb889e938c0a001a,BLOCK-bb4bcb852b735057,train,105,3,5
13,BLOCK-bb889e938c0a001a,BLOCK-bb889e938c0a001a,test,10,1,2
13,BLOCK-bb889e938c0a001a,BLOCK-c1585d53eda9a867,train,8,2,2
13,BLOCK-bb889e938c0a001a,BLOCK-c5e520eb3b94ff25,train,249,2,1
13,BLOCK-bb889e938c0a001a,BLOCK-d0fe24e9c28856d1,train,18,1,3
13,BLOCK-bb889e938c0a001a,BLOCK-e729b0aa52978c75,train,7,1,2
13,BLOCK-bb889e938c0a001a,BLOCK-fc0b343dfac9ab9d,train,7,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-2c0090ee1dd5b17e,train,16,1,2
14,BLOCK-c1585d53eda9a867,BLOCK-394ff80f01cbc968,train,16,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-4494eb5738fce47c,train,1518,1,3
14,BLOCK-c1585d53eda9a867,BLOCK-4acd8e0f532c9eb9,train,11,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-513383ed86a73488,train,4010,20,162
14,BLOCK-c1585d53eda9a867,BLOCK-5930edb067c8c52f,train,3,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-5c361cba45039733,train,842,1,112
14,BLOCK-c1585d53eda9a867,BLOCK-5ddb30f65478f699,train,4,1,3
14,BLOCK-c1585d53eda9a867,BLOCK-5f91132e1b252609,train,36,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-8dbd1f0100199b32,train,18,1,1
14,BLOCK-c1585d53eda9a867,BLOCK-ad504a636f9fcddf,train,17,1,2
14,BLOCK-c1585d53eda9a867,BLOCK-bb4bcb852b735057,train,105,3,5
14,BLOCK-c1585d53eda9a867,BLOCK-bb889e938c0a001a,train,10,1,2
14,BLOCK-c1585d53eda9a867,BLOCK-c1585d53eda9a867,test,8,2,2
14,BLOCK-c1585d53eda9a867,BLOCK-c5e520eb3b94ff25,train,249,2,1
14,BLOCK-c1585d53eda9a867,BLOCK-d0fe24e9c28856d1,train,18,1,3
14,BLOCK-c1585d53eda9a867,BLOCK-e729b0aa52978c75,train,7,1,2
14,BLOCK-c1585d53eda9a867,BLOCK-fc0b343dfac9ab9d,train,7,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-2c0090ee1dd5b17e,train,16,1,2
15,BLOCK-c5e520eb3b94ff25,BLOCK-394ff80f01cbc968,train,16,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-4494eb5738fce47c,train,1518,1,3
15,BLOCK-c5e520eb3b94ff25,BLOCK-4acd8e0f532c9eb9,train,11,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-513383ed86a73488,train,4010,20,162
15,BLOCK-c5e520eb3b94ff25,BLOCK-5930edb067c8c52f,train,3,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-5c361cba45039733,train,842,1,112
15,BLOCK-c5e520eb3b94ff25,BLOCK-5ddb30f65478f699,train,4,1,3
15,BLOCK-c5e520eb3b94ff25,BLOCK-5f91132e1b252609,train,36,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-8dbd1f0100199b32,train,18,1,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-ad504a636f9fcddf,train,17,1,2
15,BLOCK-c5e520eb3b94ff25,BLOCK-bb4bcb852b735057,train,105,3,5
15,BLOCK-c5e520eb3b94ff25,BLOCK-bb889e938c0a001a,train,10,1,2
15,BLOCK-c5e520eb3b94ff25,BLOCK-c1585d53eda9a867,train,8,2,2
15,BLOCK-c5e520eb3b94ff25,BLOCK-c5e520eb3b94ff25,test,249,2,1
15,BLOCK-c5e520eb3b94ff25,BLOCK-d0fe24e9c28856d1,train,18,1,3
15,BLOCK-c5e520eb3b94ff25,BLOCK-e729b0aa52978c75,train,7,1,2
15,BLOCK-c5e520eb3b94ff25,BLOCK-fc0b343dfac9ab9d,train,7,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-2c0090ee1dd5b17e,train,16,1,2
16,BLOCK-d0fe24e9c28856d1,BLOCK-394ff80f01cbc968,train,16,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-4494eb5738fce47c,train,1518,1,3
16,BLOCK-d0fe24e9c28856d1,BLOCK-4acd8e0f532c9eb9,train,11,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-513383ed86a73488,train,4010,20,162
16,BLOCK-d0fe24e9c28856d1,BLOCK-5930edb067c8c52f,train,3,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-5c361cba45039733,train,842,1,112
16,BLOCK-d0fe24e9c28856d1,BLOCK-5ddb30f65478f699,train,4,1,3
16,BLOCK-d0fe24e9c28856d1,BLOCK-5f91132e1b252609,train,36,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-8dbd1f0100199b32,train,18,1,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-ad504a636f9fcddf,train,17,1,2
16,BLOCK-d0fe24e9c28856d1,BLOCK-bb4bcb852b735057,train,105,3,5
16,BLOCK-d0fe24e9c28856d1,BLOCK-bb889e938c0a001a,train,10,1,2
16,BLOCK-d0fe24e9c28856d1,BLOCK-c1585d53eda9a867,train,8,2,2
16,BLOCK-d0fe24e9c28856d1,BLOCK-c5e520eb3b94ff25,train,249,2,1
16,BLOCK-d0fe24e9c28856d1,BLOCK-d0fe24e9c28856d1,test,18,1,3
16,BLOCK-d0fe24e9c28856d1,BLOCK-e729b0aa52978c75,train,7,1,2
16,BLOCK-d0fe24e9c28856d1,BLOCK-fc0b343dfac9ab9d,train,7,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-2c0090ee1dd5b17e,train,16,1,2
17,BLOCK-e729b0aa52978c75,BLOCK-394ff80f01cbc968,train,16,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-4494eb5738fce47c,train,1518,1,3
17,BLOCK-e729b0aa52978c75,BLOCK-4acd8e0f532c9eb9,train,11,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-513383ed86a73488,train,4010,20,162
17,BLOCK-e729b0aa52978c75,BLOCK-5930edb067c8c52f,train,3,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-5c361cba45039733,train,842,1,112
17,BLOCK-e729b0aa52978c75,BLOCK-5ddb30f65478f699,train,4,1,3
17,BLOCK-e729b0aa52978c75,BLOCK-5f91132e1b252609,train,36,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-8dbd1f0100199b32,train,18,1,1
17,BLOCK-e729b0aa52978c75,BLOCK-ad504a636f9fcddf,train,17,1,2
17,BLOCK-e729b0aa52978c75,BLOCK-bb4bcb852b735057,train,105,3,5
17,BLOCK-e729b0aa52978c75,BLOCK-bb889e938c0a001a,train,10,1,2
17,BLOCK-e729b0aa52978c75,BLOCK-c1585d53eda9a867,train,8,2,2
17,BLOCK-e729b0aa52978c75,BLOCK-c5e520eb3b94ff25,train,249,2,1
17,BLOCK-e729b0aa52978c75,BLOCK-d0fe24e9c28856d1,train,18,1,3
17,BLOCK-e729b0aa52978c75,BLOCK-e729b0aa52978c75,test,7,1,2
17,BLOCK-e729b0aa52978c75,BLOCK-fc0b343dfac9ab9d,train,7,1,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-2c0090ee1dd5b17e,train,16,1,2
18,BLOCK-fc0b343dfac9ab9d,BLOCK-394ff80f01cbc968,train,16,1,1
