curated_id,molecule_id,source,analogue_component_id,sealed_block_id,outer_fold,outer_test_block
SSCP-00bf524e777ea7f3,MOL-5cea6eb88b60e647,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00ccebf472ae4d8e,MOL-e79e059d07761de7,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00d7cd22f8123d27,MOL-d52ece3791eee725,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-00dc5041633d3c58,MOL-a308b709aa49beb8,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-00e04b37389ab0c8,MOL-dd98b447549572ca,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00e6d7a813501019,MOL-d17e3fca9961ad95,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-00e95dd3d9c9ed38,MOL-ea85bd22759f10f7,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0101f020a34a701a,MOL-96163fe101cec1f1,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0107e9a8e73deef1,MOL-b5fd84e9528a41f1,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-01085871a3128d5c,MOL-64727a8a22281e96,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-010a71a703626e4e,MOL-f7047c0b1e420995,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-012a04013c75aeae,MOL-11b6dd7866d71ff6,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-012dfca348758c8c,MOL-06a16557417f1197,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-012f0dff5e676197,MOL-e3d406375c197e13,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-01386d32d5418ae5,MOL-9850ca357e25cd06,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-013acd97e635c46c,MOL-aed3b6209279f85e,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-015aedee5fdfb40d,MOL-d15c8abb64b3e80c,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-015b1f05ff4e8ab3,MOL-040bf0efd66dcd0c,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-015f5df84155b691,MOL-5128b8e63f4daf1f,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-016752729b9346ab,MOL-50d5246f95dbe887,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0173b321125643d3,MOL-85fc5920f187446c,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0178084d0982157e,MOL-a6bbeab1176d4dce,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-017f3d1881b66660,MOL-481984ead9ee4c6e,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-018395cc70dcdaa1,MOL-e108170f1b68cc2d,2015_Wang,AC-98f6f3b9b38984c8,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-018fb6e52e679f0f,MOL-54ad38395b8b4947,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0193a902ed308a47,MOL-8534d11dedb82ec9,2013_CHUGAI,AC-9915a59ccaa1a737,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-0195d2c0149d8fbe,MOL-b3f566a5652b5b2a,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-01997338bc725ff9,MOL-b45f8df568c704af,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-019f2cf3661c7a80,MOL-9551b36822d3202d,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-01b0cd02748765e6,MOL-76fdf4b132c6c53a,2013_CHUGAI,AC-9915a59ccaa1a737,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-01b88f31b49794b3,MOL-03d47ecee7dab866,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-01e5d7ad30da201e,MOL-0424c3db7a246466,2024_Koch,AC-e82e3e242d3d320c,BLOCK-c5e520eb3b94ff25,15,BLOCK-c5e520eb3b94ff25
SSCP-01f273fea93f26c0,MOL-dd0a9370ec7c4a76,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-01f3c1fb2225263f,MOL-2613a40c9344e89f,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-021f69b030f005b6,MOL-b2306551a473698d,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0252fab4ed093076,MOL-628700caef688b81,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02760a211cf57ea1,MOL-804683a624c8a4cd,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-028da6aedb47474e,MOL-2b344f3e92948805,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02915bfaebbe09bd,MOL-694b5bb75be537e4,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02976f2eb4cf9c8b,MOL-93eee915810110ee,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02a9240ec061d409,MOL-6291ba39912fd598,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-02b42f26cfb30b85,MOL-5ebffe328697dfae,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02ca21c6ace39bb1,MOL-cd505df0556a3282,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-02d0c9cd32848464,MOL-c7e156ce1560e154,2024_Faris,AC-e82e3e242d3d320c,BLOCK-c5e520eb3b94ff25,15,BLOCK-c5e520eb3b94ff25
SSCP-02fba89213f6f7ff,MOL-e97a5083fd25ee79,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0308621888e1ace4,MOL-55cd8e01d56de416,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03088bb5d9c1c3bb,MOL-341b364ba063879d,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-030b06b2eab9c15e,MOL-c45fe7eb96af384e,2018_García-Pindado,AC-e5b0fd6386d20fca,BLOCK-5ddb30f65478f699,8,BLOCK-5ddb30f65478f699
SSCP-030b725ccb616ba3,MOL-1aaa74fb5c366c06,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-031a0e7ab110f692,MOL-3a29f136f1b7739a,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0321d79aa693d8a8,MOL-be935aa0a6faa772,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-032b95a39839267d,MOL-b5dd7cf60a41f40a,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0337e2d05d7e9513,MOL-65ed465c5a50c1f8,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-033a1ac1fcfcb18d,MOL-f796ed10038145c9,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0341c127a867cfdd,MOL-0f97b9753f6f7432,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-035adacad34cdf6c,MOL-a023f5aa9b62d3e3,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-036aa002f8325dfe,MOL-01601ead176c93bb,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-036e45107e9001bb,MOL-8d2f3c085a0d1a01,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-036e4c2ce649d9e0,MOL-abcbae25011edb8a,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-036feb5468ec175d,MOL-0d95a12dcc79851b,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03732bbc7acbf849,MOL-c1dd922b15d1ae11,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0382ce86f28f220c,MOL-92a718b279c2cfaf,2015_Wang,AC-dad6fe91d27ae303,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-038f5d4979b7b308,MOL-b20bdd8e258290b3,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0390d0b416b1cfab,MOL-d94a6c52aa2fec7a,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-039176f90f110e7c,MOL-991e9cd27bfa4459,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-03992c933aa0f990,MOL-4d0692811dd6d7d1,2013_CHUGAI,AC-9915a59ccaa1a737,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-039e99ecc6ba247c,MOL-191a99fac7907bc1,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-039f7337e1c43b8a,MOL-ef9f01412139a16d,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-03c5f24816fe8fc6,MOL-e6e119c58eff3d83,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-03cd99860e542373,MOL-947fbcef7aff72c7,2013_CHUGAI,AC-9915a59ccaa1a737,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-03d4df53c4567078,MOL-89cc1d082208a7fb,2018_Naylor,AC-dceba6004ee9f160,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03ddc829284aa18f,MOL-0dbefcea8ad11b72,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03e23f6a5a7af88b,MOL-63c326b26cc125c6,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03e86d23a8ddb28f,MOL-00e37dcb6260f114,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-03ef7e8421b15193,MOL-a8265c2aba47722b,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03f5833535b5c416,MOL-43faff18394e05d9,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-03f8d8593846e670,MOL-96eb25143746d524,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0407d6a8ec7f4d24,MOL-a7211b4394c90cf8,2013_CHUGAI,AC-77fb0f10ded9ea1e,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-040fdf2d45c068a6,MOL-390d17a30f12cfb7,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0420624ef0aa5971,MOL-efa34eb924a9012a,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0424dedce7979966,MOL-3249a0ab529e0efa,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-042ab7cc2a5829e4,MOL-d736f31a6cae30a3,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-043747e1af18b5d3,MOL-3fe6c3e20e0519dd,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-043bcc07b2ab4d6c,MOL-be5be232a7f22a62,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0453904610c6a5e2,MOL-207a14a3f6416255,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-045d41daeb6d46db,MOL-fcdfb329bc9c4e57,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-04608a3be4e7965e,MOL-664a9e97589e0403,2013_CHUGAI,AC-9ea1ca27f333e9c4,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-046379d562230719,MOL-c674adbab3dc711c,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-0470f19b48a84e9e,MOL-47d06a721f461b4c,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0472de082a9451c8,MOL-f2a312d129d63c3f,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-047db441c22939a3,MOL-d9550d1f28c9bd65,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-048e5fd7b7b2cb75,MOL-65d23a515e4a1a51,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0491322505e1f7c0,MOL-e72c129de927f541,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-049baedd058bba3b,MOL-8a7e6aaa2f8064cf,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-04a1b117761202bb,MOL-65662a0a1000f5cb,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-04a432617cd799e9,MOL-6236a0c1de38ce84,2021_Kelly,AC-6d3257a2b83e15dc,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-04c34d4a9a5aa872,MOL-200770106263c867,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-04ceeb53c793ecd2,MOL-dc8847a2d412753d,2022_Bhardwaj,AC-32a6b934bd051c9b,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-04df124f18acc598,MOL-efc4f78952ae0a36,2013_CHUGAI,AC-e4519f70ac39dcdb,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-04ecbe67e4e29207,MOL-c210823f8f5e5255,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-04f0eb8ac8713e66,MOL-b045606f4f187e6f,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-04fcaded7f145fef,MOL-4573ddae81de9da4,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05083f3fe6d03fbe,MOL-f4763f156162ce09,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0513c4013f6024f3,MOL-35b8c8609c1eb651,2017_Pye,AC-d51aa402a0242ca5,BLOCK-2c0090ee1dd5b17e,1,BLOCK-2c0090ee1dd5b17e
SSCP-05166ae6edf0d214,MOL-39db167e6a87c850,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-051b3b51188d45f0,MOL-af42063b22d8276a,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-051c59dccea1cc72,MOL-fc9efe7288d1640a,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-052e7e14abe650a0,MOL-e6454fc8c689faf3,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0534c6517f0756c9,MOL-2a31e87511bfb575,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0541ffbeb32b84aa,MOL-56ede60cd68ca518,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0543e2d064dbaaf0,MOL-2a6a0888addfb685,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-054535579ece2b52,MOL-ed79cf40a173f05a,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-054a4492ae4fde6c,MOL-67688e75d8a9942c,2013_CHUGAI,AC-601ed34e68f042b9,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-0551b59dfdb4ebf5,MOL-1a66f6a6755e88f1,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05645ce12eb7c244,MOL-79c9de75288b643f,2021_Comeau,AC-b74b4d5565722d16,BLOCK-bb4bcb852b735057,12,BLOCK-bb4bcb852b735057
SSCP-056821a4fe54c29c,MOL-5dbf9bb72533ca96,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-056d5bb8e664988b,MOL-00b93ad4f610f10f,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05712368980007ec,MOL-503acd489c81cfc9,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0583118cbe7f47c4,MOL-bce7b2902ea6c5cd,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0590a53afae2032c,MOL-9bb761b8095512df,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-059f2a445638405e,MOL-b3298de054c540ba,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-05a1c7adfb119a3b,MOL-4841686d12f406c8,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-05afb13936745902,MOL-8d81656cfe90b031,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05bb2ae7b9ecac58,MOL-18c208c4d5654222,2024_Faris,AC-e82e3e242d3d320c,BLOCK-c5e520eb3b94ff25,15,BLOCK-c5e520eb3b94ff25
SSCP-05bf366e069e42b5,MOL-10487d8ee779cf1e,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-05c5d3c362a2d77a,MOL-81face6dc31c1726,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05c95ce5ac93542b,MOL-d0352a28df2fea29,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05d38ecbfa8078d3,MOL-834af89b5ac8022c,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05d4a14c1caa1ec0,MOL-964465a3c3dcb896,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-05d8dc068f3de20f,MOL-d952d13188394342,2021_Kelly,AC-ac7e5d0036401990,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-05f7c31d9cea533e,MOL-9047d9cbc56bc0a1,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-05fe2a123398dfce,MOL-4d36e20c27b00ed6,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-060d068bb3fd5a25,MOL-fa21eec85183f958,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0628fb7999339112,MOL-a5c45223df73cc76,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-063303c21e686931,MOL-3e8423bb0298e136,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0637149104dba432,MOL-a456d8a054505406,2024_Faris,AC-e82e3e242d3d320c,BLOCK-c5e520eb3b94ff25,15,BLOCK-c5e520eb3b94ff25
SSCP-064343f11d014fe2,MOL-0ffeab2a28f93ab0,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-0644c597e1bc977c,MOL-0e636c4e51befeb5,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-064e09136acb8b6d,MOL-42e915992d89f165,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
