outer_fold,outer_test_block,sealed_block_id,inner_basket,n_curated_rows
8,BLOCK-5ddb30f65478f699,BLOCK-e729b0aa52978c75,4,7
8,BLOCK-5ddb30f65478f699,BLOCK-fc0b343dfac9ab9d,4,7
9,BLOCK-5f91132e1b252609,BLOCK-513383ed86a73488,1,4010
9,BLOCK-5f91132e1b252609,BLOCK-4494eb5738fce47c,2,1518
9,BLOCK-5f91132e1b252609,BLOCK-5c361cba45039733,3,842
9,BLOCK-5f91132e1b252609,BLOCK-2c0090ee1dd5b17e,4,16
9,BLOCK-5f91132e1b252609,BLOCK-394ff80f01cbc968,4,16
9,BLOCK-5f91132e1b252609,BLOCK-4acd8e0f532c9eb9,4,11
9,BLOCK-5f91132e1b252609,BLOCK-5930edb067c8c52f,4,3
9,BLOCK-5f91132e1b252609,BLOCK-5ddb30f65478f699,4,4
9,BLOCK-5f91132e1b252609,BLOCK-8dbd1f0100199b32,4,18
9,BLOCK-5f91132e1b252609,BLOCK-ad504a636f9fcddf,4,17
9,BLOCK-5f91132e1b252609,BLOCK-bb4bcb852b735057,4,105
9,BLOCK-5f91132e1b252609,BLOCK-bb889e938c0a001a,4,10
9,BLOCK-5f91132e1b252609,BLOCK-c1585d53eda9a867,4,8
9,BLOCK-5f91132e1b252609,BLOCK-c5e520eb3b94ff25,4,249
9,BLOCK-5f91132e1b252609,BLOCK-d0fe24e9c28856d1,4,18
9,BLOCK-5f91132e1b252609,BLOCK-e729b0aa52978c75,4,7
9,BLOCK-5f91132e1b252609,BLOCK-fc0b343dfac9ab9d,4,7
10,BLOCK-8dbd1f0100199b32,BLOCK-513383ed86a73488,1,4010
10,BLOCK-8dbd1f0100199b32,BLOCK-4494eb5738fce47c,2,1518
10,BLOCK-8dbd1f0100199b32,BLOCK-5c361cba45039733,3,842
10,BLOCK-8dbd1f0100199b32,BLOCK-2c0090ee1dd5b17e,4,16
10,BLOCK-8dbd1f0100199b32,BLOCK-394ff80f01cbc968,4,16
10,BLOCK-8dbd1f0100199b32,BLOCK-4acd8e0f532c9eb9,4,11
10,BLOCK-8dbd1f0100199b32,BLOCK-5930edb067c8c52f,4,3
10,BLOCK-8dbd1f0100199b32,BLOCK-5ddb30f65478f699,4,4
10,BLOCK-8dbd1f0100199b32,BLOCK-5f91132e1b252609,4,36
10,BLOCK-8dbd1f0100199b32,BLOCK-ad504a636f9fcddf,4,17
10,BLOCK-8dbd1f0100199b32,BLOCK-bb4bcb852b735057,4,105
10,BLOCK-8dbd1f0100199b32,BLOCK-bb889e938c0a001a,4,10
10,BLOCK-8dbd1f0100199b32,BLOCK-c1585d53eda9a867,4,8
10,BLOCK-8dbd1f0100199b32,BLOCK-c5e520eb3b94ff25,4,249
10,BLOCK-8dbd1f0100199b32,BLOCK-d0fe24e9c28856d1,4,18
10,BLOCK-8dbd1f0100199b32,BLOCK-e729b0aa52978c75,4,7
10,BLOCK-8dbd1f0100199b32,BLOCK-fc0b343dfac9ab9d,4,7
11,BLOCK-ad504a636f9fcddf,BLOCK-513383ed86a73488,1,4010
11,BLOCK-ad504a636f9fcddf,BLOCK-4494eb5738fce47c,2,1518
11,BLOCK-ad504a636f9fcddf,BLOCK-5c361cba45039733,3,842
11,BLOCK-ad504a636f9fcddf,BLOCK-2c0090ee1dd5b17e,4,16
11,BLOCK-ad504a636f9fcddf,BLOCK-394ff80f01cbc968,4,16
11,BLOCK-ad504a636f9fcddf,BLOCK-4acd8e0f532c9eb9,4,11
11,BLOCK-ad504a636f9fcddf,BLOCK-5930edb067c8c52f,4,3
11,BLOCK-ad504a636f9fcddf,BLOCK-5ddb30f65478f699,4,4
11,BLOCK-ad504a636f9fcddf,BLOCK-5f91132e1b252609,4,36
11,BLOCK-ad504a636f9fcddf,BLOCK-8dbd1f0100199b32,4,18
11,BLOCK-ad504a636f9fcddf,BLOCK-bb4bcb852b735057,4,105
11,BLOCK-ad504a636f9fcddf,BLOCK-bb889e938c0a001a,4,10
11,BLOCK-ad504a636f9fcddf,BLOCK-c1585d53eda9a867,4,8
11,BLOCK-ad504a636f9fcddf,BLOCK-c5e520eb3b94ff25,4,249
11,BLOCK-ad504a636f9fcddf,BLOCK-d0fe24e9c28856d1,4,18
11,BLOCK-ad504a636f9fcddf,BLOCK-e729b0aa52978c75,4,7
11,BLOCK-ad504a636f9fcddf,BLOCK-fc0b343dfac9ab9d,4,7
12,BLOCK-bb4bcb852b735057,BLOCK-513383ed86a73488,1,4010
12,BLOCK-bb4bcb852b735057,BLOCK-4494eb5738fce47c,2,1518
12,BLOCK-bb4bcb852b735057,BLOCK-5c361cba45039733,3,842
12,BLOCK-bb4bcb852b735057,BLOCK-2c0090ee1dd5b17e,4,16
12,BLOCK-bb4bcb852b735057,BLOCK-394ff80f01cbc968,4,16
12,BLOCK-bb4bcb852b735057,BLOCK-4acd8e0f532c9eb9,4,11
12,BLOCK-bb4bcb852b735057,BLOCK-5930edb067c8c52f,4,3
12,BLOCK-bb4bcb852b735057,BLOCK-5ddb30f65478f699,4,4
12,BLOCK-bb4bcb852b735057,BLOCK-5f91132e1b252609,4,36
12,BLOCK-bb4bcb852b735057,BLOCK-8dbd1f0100199b32,4,18
12,BLOCK-bb4bcb852b735057,BLOCK-ad504a636f9fcddf,4,17
12,BLOCK-bb4bcb852b735057,BLOCK-bb889e938c0a001a,4,10
12,BLOCK-bb4bcb852b735057,BLOCK-c1585d53eda9a867,4,8
12,BLOCK-bb4bcb852b735057,BLOCK-c5e520eb3b94ff25,4,249
12,BLOCK-bb4bcb852b735057,BLOCK-d0fe24e9c28856d1,4,18
12,BLOCK-bb4bcb852b735057,BLOCK-e729b0aa52978c75,4,7
12,BLOCK-bb4bcb852b735057,BLOCK-fc0b343dfac9ab9d,4,7
13,BLOCK-bb889e938c0a001a,BLOCK-513383ed86a73488,1,4010
13,BLOCK-bb889e938c0a001a,BLOCK-4494eb5738fce47c,2,1518
13,BLOCK-bb889e938c0a001a,BLOCK-5c361cba45039733,3,842
13,BLOCK-bb889e938c0a001a,BLOCK-2c0090ee1dd5b17e,4,16
13,BLOCK-bb889e938c0a001a,BLOCK-394ff80f01cbc968,4,16
13,BLOCK-bb889e938c0a001a,BLOCK-4acd8e0f532c9eb9,4,11
13,BLOCK-bb889e938c0a001a,BLOCK-5930edb067c8c52f,4,3
13,BLOCK-bb889e938c0a001a,BLOCK-5ddb30f65478f699,4,4
13,BLOCK-bb889e938c0a001a,BLOCK-5f91132e1b252609,4,36
13,BLOCK-bb889e938c0a001a,BLOCK-8dbd1f0100199b32,4,18
13,BLOCK-bb889e938c0a001a,BLOCK-ad504a636f9fcddf,4,17
13,BLOCK-bb889e938c0a001a,BLOCK-bb4bcb852b735057,4,105
13,BLOCK-bb889e938c0a001a,BLOCK-c1585d53eda9a867,4,8
13,BLOCK-bb889e938c0a001a,BLOCK-c5e520eb3b94ff25,4,249
13,BLOCK-bb889e938c0a001a,BLOCK-d0fe24e9c28856d1,4,18
13,BLOCK-bb889e938c0a001a,BLOCK-e729b0aa52978c75,4,7
13,BLOCK-bb889e938c0a001a,BLOCK-fc0b343dfac9ab9d,4,7
14,BLOCK-c1585d53eda9a867,BLOCK-513383ed86a73488,1,4010
14,BLOCK-c1585d53eda9a867,BLOCK-4494eb5738fce47c,2,1518
14,BLOCK-c1585d53eda9a867,BLOCK-5c361cba45039733,3,842
14,BLOCK-c1585d53eda9a867,BLOCK-2c0090ee1dd5b17e,4,16
14,BLOCK-c1585d53eda9a867,BLOCK-394ff80f01cbc968,4,16
14,BLOCK-c1585d53eda9a867,BLOCK-4acd8e0f532c9eb9,4,11
14,BLOCK-c1585d53eda9a867,BLOCK-5930edb067c8c52f,4,3
14,BLOCK-c1585d53eda9a867,BLOCK-5ddb30f65478f699,4,4
14,BLOCK-c1585d53eda9a867,BLOCK-5f91132e1b252609,4,36
14,BLOCK-c1585d53eda9a867,BLOCK-8dbd1f0100199b32,4,18
14,BLOCK-c1585d53eda9a867,BLOCK-ad504a636f9fcddf,4,17
14,BLOCK-c1585d53eda9a867,BLOCK-bb4bcb852b735057,4,105
14,BLOCK-c1585d53eda9a867,BLOCK-bb889e938c0a001a,4,10
14,BLOCK-c1585d53eda9a867,BLOCK-c5e520eb3b94ff25,4,249
14,BLOCK-c1585d53eda9a867,BLOCK-d0fe24e9c28856d1,4,18
14,BLOCK-c1585d53eda9a867,BLOCK-e729b0aa52978c75,4,7
14,BLOCK-c1585d53eda9a867,BLOCK-fc0b343dfac9ab9d,4,7
15,BLOCK-c5e520eb3b94ff25,BLOCK-513383ed86a73488,1,4010
15,BLOCK-c5e520eb3b94ff25,BLOCK-4494eb5738fce47c,2,1518
15,BLOCK-c5e520eb3b94ff25,BLOCK-5c361cba45039733,3,842
15,BLOCK-c5e520eb3b94ff25,BLOCK-2c0090ee1dd5b17e,4,16
15,BLOCK-c5e520eb3b94ff25,BLOCK-394ff80f01cbc968,4,16
15,BLOCK-c5e520eb3b94ff25,BLOCK-4acd8e0f532c9eb9,4,11
15,BLOCK-c5e520eb3b94ff25,BLOCK-5930edb067c8c52f,4,3
15,BLOCK-c5e520eb3b94ff25,BLOCK-5ddb30f65478f699,4,4
15,BLOCK-c5e520eb3b94ff25,BLOCK-5f91132e1b252609,4,36
15,BLOCK-c5e520eb3b94ff25,BLOCK-8dbd1f0100199b32,4,18
15,BLOCK-c5e520eb3b94ff25,BLOCK-ad504a636f9fcddf,4,17
15,BLOCK-c5e520eb3b94ff25,BLOCK-bb4bcb852b735057,4,105
15,BLOCK-c5e520eb3b94ff25,BLOCK-bb889e938c0a001a,4,10
15,BLOCK-c5e520eb3b94ff25,BLOCK-c1585d53eda9a867,4,8
15,BLOCK-c5e520eb3b94ff25,BLOCK-d0fe24e9c28856d1,4,18
15,BLOCK-c5e520eb3b94ff25,BLOCK-e729b0aa52978c75,4,7
15,BLOCK-c5e520eb3b94ff25,BLOCK-fc0b343dfac9ab9d,4,7
16,BLOCK-d0fe24e9c28856d1,BLOCK-513383ed86a73488,1,4010
16,BLOCK-d0fe24e9c28856d1,BLOCK-4494eb5738fce47c,2,1518
16,BLOCK-d0fe24e9c28856d1,BLOCK-5c361cba45039733,3,842
16,BLOCK-d0fe24e9c28856d1,BLOCK-2c0090ee1dd5b17e,4,16
16,BLOCK-d0fe24e9c28856d1,BLOCK-394ff80f01cbc968,4,16
16,BLOCK-d0fe24e9c28856d1,BLOCK-4acd8e0f532c9eb9,4,11
16,BLOCK-d0fe24e9c28856d1,BLOCK-5930edb067c8c52f,4,3
16,BLOCK-d0fe24e9c28856d1,BLOCK-5ddb30f65478f699,4,4
16,BLOCK-d0fe24e9c28856d1,BLOCK-5f91132e1b252609,4,36
16,BLOCK-d0fe24e9c28856d1,BLOCK-8dbd1f0100199b32,4,18
16,BLOCK-d0fe24e9c28856d1,BLOCK-ad504a636f9fcddf,4,17
16,BLOCK-d0fe24e9c28856d1,BLOCK-bb4bcb852b735057,4,105
16,BLOCK-d0fe24e9c28856d1,BLOCK-bb889e938c0a001a,4,10
16,BLOCK-d0fe24e9c28856d1,BLOCK-c1585d53eda9a867,4,8
16,BLOCK-d0fe24e9c28856d1,BLOCK-c5e520eb3b94ff25,4,249
16,BLOCK-d0fe24e9c28856d1,BLOCK-e729b0aa52978c75,4,7
16,BLOCK-d0fe24e9c28856d1,BLOCK-fc0b343dfac9ab9d,4,7
17,BLOCK-e729b0aa52978c75,BLOCK-513383ed86a73488,1,4010
17,BLOCK-e729b0aa52978c75,BLOCK-4494eb5738fce47c,2,1518
17,BLOCK-e729b0aa52978c75,BLOCK-5c361cba45039733,3,842
17,BLOCK-e729b0aa52978c75,BLOCK-2c0090ee1dd5b17e,4,16
17,BLOCK-e729b0aa52978c75,BLOCK-394ff80f01cbc968,4,16
17,BLOCK-e729b0aa52978c75,BLOCK-4acd8e0f532c9eb9,4,11
17,BLOCK-e729b0aa52978c75,BLOCK-5930edb067c8c52f,4,3
17,BLOCK-e729b0aa52978c75,BLOCK-5ddb30f65478f699,4,4
17,BLOCK-e729b0aa52978c75,BLOCK-5f91132e1b252609,4,36
17,BLOCK-e729b0aa52978c75,BLOCK-8dbd1f0100199b32,4,18
17,BLOCK-e729b0aa52978c75,BLOCK-ad504a636f9fcddf,4,17
17,BLOCK-e729b0aa52978c75,BLOCK-bb4bcb852b735057,4,105
17,BLOCK-e729b0aa52978c75,BLOCK-bb889e938c0a001a,4,10
17,BLOCK-e729b0aa52978c75,BLOCK-c1585d53eda9a867,4,8
17,BLOCK-e729b0aa52978c75,BLOCK-c5e520eb3b94ff25,4,249
17,BLOCK-e729b0aa52978c75,BLOCK-d0fe24e9c28856d1,4,18
17,BLOCK-e729b0aa52978c75,BLOCK-fc0b343dfac9ab9d,4,7
18,BLOCK-fc0b343dfac9ab9d,BLOCK-513383ed86a73488,1,4010
18,BLOCK-fc0b343dfac9ab9d,BLOCK-4494eb5738fce47c,2,1518
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5c361cba45039733,3,842
18,BLOCK-fc0b343dfac9ab9d,BLOCK-2c0090ee1dd5b17e,4,16
18,BLOCK-fc0b343dfac9ab9d,BLOCK-394ff80f01cbc968,4,16
18,BLOCK-fc0b343dfac9ab9d,BLOCK-4acd8e0f532c9eb9,4,11
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5930edb067c8c52f,4,3
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5ddb30f65478f699,4,4
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5f91132e1b252609,4,36
18,BLOCK-fc0b343dfac9ab9d,BLOCK-8dbd1f0100199b32,4,18
18,BLOCK-fc0b343dfac9ab9d,BLOCK-ad504a636f9fcddf,4,17
18,BLOCK-fc0b343dfac9ab9d,BLOCK-bb4bcb852b735057,4,105
18,BLOCK-fc0b343dfac9ab9d,BLOCK-bb889e938c0a001a,4,10
18,BLOCK-fc0b343dfac9ab9d,BLOCK-c1585d53eda9a867,4,8
18,BLOCK-fc0b343dfac9ab9d,BLOCK-c5e520eb3b94ff25,4,249
18,BLOCK-fc0b343dfac9ab9d,BLOCK-d0fe24e9c28856d1,4,18
18,BLOCK-fc0b343dfac9ab9d,BLOCK-e729b0aa52978c75,4,7
