outer_fold,curated_id,inner_basket,source_molecule_fold
1,SSCP-08ef84cd22fa453a,1,2
1,SSCP-09000017d5165753,1,2
1,SSCP-0902f55f8633bd2f,1,2
1,SSCP-0921d8f883b3c5be,1,2
1,SSCP-09427946de8095ef,1,2
1,SSCP-096c13417ffc5c97,1,2
1,SSCP-0981e7f250a419b7,1,2
1,SSCP-09ee2290b0a6d32e,1,2
1,SSCP-0a0450d94bee92f6,1,2
1,SSCP-0a106d2f879bfa80,1,2
1,SSCP-0a641c0e8045190b,1,2
1,SSCP-0a855bc49394034d,1,2
1,SSCP-0ad8119db87492ce,1,2
1,SSCP-0b54a0c85e2ed74b,1,2
1,SSCP-0bcc77ab5f567590,1,2
1,SSCP-0bd5362079f76a9c,1,2
1,SSCP-0c2f3688d54a0bec,1,2
1,SSCP-0c3794e432c93971,1,2
1,SSCP-0c43b121b237c18c,1,2
1,SSCP-0c5dc8e283c1d00c,1,2
1,SSCP-0ca12d4566f5347e,1,2
1,SSCP-0d04c5e3f4546c7e,1,2
1,SSCP-0d0d82609cb418e6,1,2
1,SSCP-0d1a9d7169aed238,1,2
1,SSCP-0d57d6d70edbd537,1,2
1,SSCP-0df0eac21e51c536,1,2
1,SSCP-0e033c7b98f151a7,1,2
1,SSCP-0e4476b0fc519182,1,2
1,SSCP-0e6784eef6f1a8b3,1,2
1,SSCP-0e7f31dec14b524a,1,2
1,SSCP-0e90d92e7c189e18,1,2
1,SSCP-0f15fa99b8cd38f7,1,2
1,SSCP-0f1f9f0aa56c7011,1,2
1,SSCP-0ffd61b4bb329303,1,2
1,SSCP-105dbf8abd0d03fa,1,2
1,SSCP-10b4db971531ccb1,1,2
1,SSCP-1186e9d99ba37751,1,2
1,SSCP-12143f9304aeed30,1,2
1,SSCP-1266bcafa1af1d82,1,2
1,SSCP-12ac7a027d8cb163,1,2
1,SSCP-12cb1c16665c700a,1,2
1,SSCP-12d3193cf40f6844,1,2
1,SSCP-12df49e57de546f5,1,2
1,SSCP-132403e6822a35e7,1,2
1,SSCP-133516395c66c0bb,1,2
1,SSCP-1366207753f0db73,1,2
1,SSCP-137102913b35c2ff,1,2
1,SSCP-138245443440ff1d,1,2
1,SSCP-13a59d3bc71307cb,1,2
1,SSCP-13f2a9cbea258ef7,1,2
1,SSCP-13fb4dbdade955c7,1,2
1,SSCP-14417e86ba535162,1,2
1,SSCP-1453547cad8515ec,1,2
1,SSCP-1457ed1624c31fa8,1,2
1,SSCP-14883f33989405b6,1,2
1,SSCP-14b1c0fd8b369f20,1,2
1,SSCP-14b6dc57fc094477,1,2
1,SSCP-14c5b4c172902c1c,1,2
1,SSCP-14f47dcae619855b,1,2
1,SSCP-151b874a1aee8fa0,1,2
1,SSCP-153dd6c1eb50dcbb,1,2
1,SSCP-1548dab984331cfa,1,2
1,SSCP-1566632879480f5d,1,2
1,SSCP-160c99ebe3a5956b,1,2
1,SSCP-163f250377e282b2,1,2
1,SSCP-16728e94d1143544,1,2
1,SSCP-167eff4ef7d57416,1,2
1,SSCP-16d08aba4163ab37,1,2
1,SSCP-1738d4044220e97f,1,2
1,SSCP-175414241dcd9475,1,2
1,SSCP-17673630d858d412,1,2
1,SSCP-17a5cd48b87b6b33,1,2
1,SSCP-17ef1c7c06ba3b11,1,2
1,SSCP-1809cbfe1c86cbb0,1,2
1,SSCP-1825dd09490f1cb1,1,2
1,SSCP-1830d16ccfc3da9f,1,2
1,SSCP-183526a613b1e68b,1,2
1,SSCP-18a571c7c9b44d15,1,2
1,SSCP-18bd4ef83756a695,1,2
1,SSCP-18e079969ee3b402,1,2
1,SSCP-190ed9b09dc8a9ae,1,2
1,SSCP-192dc210728f4c49,1,2
1,SSCP-193ae5e1329c1701,1,2
1,SSCP-193b9621e4371660,1,2
1,SSCP-19869a760504abab,1,2
1,SSCP-199559f6609e669e,1,2
1,SSCP-199ee0933dd6e7d5,1,2
1,SSCP-19a8d7f6539f6fcc,1,2
1,SSCP-19b02c5ec767c4ec,1,2
1,SSCP-19b0b4c341079643,1,2
1,SSCP-19d4687554aaf68c,1,2
1,SSCP-19dcc98805ef6df2,1,2
1,SSCP-1a36a5261620f36e,1,2
1,SSCP-1a3b12e5ce02568f,1,2
1,SSCP-1a3ec38b3747ae5d,1,2
1,SSCP-1a5402b102f24864,1,2
1,SSCP-1aaa3fa19fe71b5d,1,2
1,SSCP-1abbed88c1b1340d,1,2
1,SSCP-1ae2e10835bbca3c,1,2
1,SSCP-1af38f1e1661fe2d,1,2
1,SSCP-1b24551c2c607884,1,2
1,SSCP-1b2fddbafbeefa2c,1,2
1,SSCP-1b3e005175d57ec1,1,2
1,SSCP-1b40980d9ffc7a59,1,2
1,SSCP-1b4a961c5815157e,1,2
1,SSCP-1b8ccde45234d88a,1,2
1,SSCP-1c6abe31d873c5be,1,2
1,SSCP-1c820a4f54e358a8,1,2
1,SSCP-1cb0122165de1baa,1,2
1,SSCP-1cb55129519d05b3,1,2
1,SSCP-1cc0da57c14aedcf,1,2
1,SSCP-1cf069faa2c4b5ea,1,2
1,SSCP-1d474637b607db42,1,2
1,SSCP-1d7811c289d891a9,1,2
1,SSCP-1dba4f41e41368af,1,2
1,SSCP-1e391311976df17d,1,2
1,SSCP-1e8c448a74964747,1,2
1,SSCP-1eab58550a33b216,1,2
1,SSCP-1ebe21a529bd0dc9,1,2
1,SSCP-1ed7beb41f1c6340,1,2
1,SSCP-1f7bc473dfb93234,1,2
1,SSCP-1f83e7be7670b886,1,2
1,SSCP-1faac3410b06a2d1,1,2
1,SSCP-1fedacbc09c58b93,1,2
1,SSCP-201b77c226c68c77,1,2
1,SSCP-2027e32db1a81dbd,1,2
1,SSCP-202b75eabee33361,1,2
1,SSCP-204dced1a396d9cb,1,2
1,SSCP-20606c2788f08cde,1,2
1,SSCP-207170dad667e0b6,1,2
1,SSCP-2073d11c1276c67d,1,2
1,SSCP-20749c680d6359b2,1,2
1,SSCP-207e08c72e94c09c,1,2
1,SSCP-20878e08560a9961,1,2
1,SSCP-20ad93589c57d321,1,2
1,SSCP-20ae16c167ebbf87,1,2
1,SSCP-20bebed3bd0afe28,1,2
1,SSCP-20c25526751ff38b,1,2
1,SSCP-20ca779259efa394,1,2
1,SSCP-20cb2a2760b08d2b,1,2
1,SSCP-20ec20de3c80720b,1,2
1,SSCP-210ba4a8e8cb8104,1,2
1,SSCP-214d229ec3d9fbe1,1,2
1,SSCP-217112ecbdbb57b0,1,2
1,SSCP-21acea63a8b565b3,1,2
1,SSCP-21dc3e5ad8835d86,1,2
1,SSCP-21ed9b4fa1013183,1,2
1,SSCP-22011a3eeef70e40,1,2
1,SSCP-22156620c109d4b8,1,2
1,SSCP-225ccdac557bebf0,1,2
1,SSCP-225e2d88806568a7,1,2
1,SSCP-226ca4ddefad1e93,1,2
1,SSCP-22bb1b090c0973ed,1,2
1,SSCP-22df6c03eef95791,1,2
1,SSCP-22f4ab8b23baa7a6,1,2
1,SSCP-23072d87eae73f85,1,2
1,SSCP-233e0b89b83fd947,1,2
1,SSCP-2362db94c23f78d3,1,2
1,SSCP-236a9ba2e2addaa2,1,2
1,SSCP-2390414445e8e4c3,1,2
1,SSCP-23e41969eeeeafb3,1,2
1,SSCP-24111c4ace896ac9,1,2
1,SSCP-244230beb8c276b3,1,2
1,SSCP-244bfc0a7e90d245,1,2
1,SSCP-2482f5dbaf6f4d09,1,2
1,SSCP-24b23f48dfd17fcf,1,2
1,SSCP-25030a36053dfd67,1,2
1,SSCP-250df5b00774aea0,1,2
1,SSCP-2524e50e48198318,1,2
1,SSCP-2538f1bc8b8e7c24,1,2
1,SSCP-256817b64ff6d4d1,1,2
1,SSCP-25af95fe77235722,1,2
1,SSCP-25afc84ef7f4e924,1,2
1,SSCP-25c93b2ee5df56be,1,2
1,SSCP-25d27f4b4d19b5fa,1,2
1,SSCP-262337893631903a,1,2
1,SSCP-268b5f0cc6768335,1,2
1,SSCP-26aba27ee133a842,1,2
1,SSCP-26b00720bc185023,1,2
1,SSCP-2724561bbef7bc81,1,2
1,SSCP-275693a59dcb35f5,1,2
1,SSCP-27573e06f895b0ca,1,2
1,SSCP-2775e5d5a136ce41,1,2
1,SSCP-2777afc6f8a75d09,1,2
1,SSCP-2857abba1308552d,1,2
1,SSCP-28a71d5e375afd61,1,2
1,SSCP-28c5acd23e9a0787,1,2
1,SSCP-28d18de427e5f4a9,1,2
1,SSCP-29473d7fff15ed85,1,2
1,SSCP-296cc6b7c19e0b4e,1,2
1,SSCP-29c827dffda351d0,1,2
1,SSCP-2a611e05c8d638a4,1,2
1,SSCP-2abed7c9dc53b17f,1,2
1,SSCP-2abfb2c811b06b9e,1,2
1,SSCP-2ac7e9a262da269f,1,2
1,SSCP-2b2cbb97f23e79ab,1,2
1,SSCP-2b2f9faba731e65a,1,2
1,SSCP-2b56d53cc74fbd81,1,2
1,SSCP-2b5fda76d0929a32,1,2
1,SSCP-2bbf498d264a3856,1,2
1,SSCP-2bf9fc7d4f3a0098,1,2
1,SSCP-2c29fab263a0d70d,1,2
1,SSCP-2c537a4d4301c820,1,2
1,SSCP-2c553bd28a0468b8,1,2
1,SSCP-2c84354b30856d70,1,2
1,SSCP-2c846825027a3920,1,2
1,SSCP-2ce561e279bb165c,1,2
1,SSCP-2d321aed82bc3196,1,2
1,SSCP-2d3b64aaedb5c249,1,2
1,SSCP-2d3d09d36d7716e6,1,2
1,SSCP-2d74cec0ca735cbe,1,2
1,SSCP-2de124cff77d34c7,1,2
1,SSCP-2dedddf31e56972e,1,2
1,SSCP-2e128ce44617f50b,1,2
1,SSCP-2e4724259bc52420,1,2
1,SSCP-2e60f26030cbf044,1,2
1,SSCP-2e62bbadb6c2ad8c,1,2
1,SSCP-2e6f1259e92caef4,1,2
1,SSCP-2e73f6b099208991,1,2
1,SSCP-2e797ecb5921a196,1,2
1,SSCP-2e9922b6f2787091,1,2
1,SSCP-2ef04a348fc93651,1,2
1,SSCP-2f11073e5c0746be,1,2
1,SSCP-2f243fe127ed3cbe,1,2
1,SSCP-2f51ebbc020cb07f,1,2
1,SSCP-2f5d678c5743a120,1,2
1,SSCP-2f94435b55541db6,1,2
1,SSCP-2f9e6af82fc854ba,1,2
1,SSCP-2fc26d8a2a0f8393,1,2
1,SSCP-2fdeac6ede81eb36,1,2
1,SSCP-2fe79b53c3d337e7,1,2
1,SSCP-300f479b71de78f2,1,2
1,SSCP-3071a3814a07abe7,1,2
1,SSCP-30ffa4e457b61011,1,2
1,SSCP-3114ef2379e35c27,1,2
1,SSCP-31153c6ceff95b1d,1,2
1,SSCP-314e96f4027d3aa4,1,2
1,SSCP-31572266b29efd4d,1,2
1,SSCP-3184c870eeae19f9,1,2
1,SSCP-3227601bcd2d5bdf,1,2
1,SSCP-32b646c9134ebf31,1,2
1,SSCP-32def98ea56db6ac,1,2
1,SSCP-32edf34771c9b7da,1,2
1,SSCP-330cc3b6c555ccba,1,2
1,SSCP-3421bc36ef6579d1,1,2
1,SSCP-348a376bba29d90b,1,2
1,SSCP-349336763a53cea4,1,2
1,SSCP-3496f42819c3f193,1,2
1,SSCP-351631b9d04079bd,1,2
1,SSCP-351e03709f81e20e,1,2
1,SSCP-352e7fc54028dce6,1,2
1,SSCP-3553ae7481a13a85,1,2
1,SSCP-35f532906c9a027b,1,2
1,SSCP-366e1415b6d38902,1,2
1,SSCP-36c4cdbfb52f9571,1,2
1,SSCP-36ca2f4eace66d86,1,2
1,SSCP-36e11d73934dde30,1,2
1,SSCP-37240bdcc2b27e86,1,2
1,SSCP-373df0aec9492667,1,2
1,SSCP-37778e8d47bc39d4,1,2
1,SSCP-37ed86231a3de020,1,2
1,SSCP-37f0ef1b6e7488fc,1,2
1,SSCP-388a2b3c6e10eae9,1,2
1,SSCP-38b46a48c7b23fd1,1,2
1,SSCP-392e4473f363ca34,1,2
1,SSCP-397f7d16001fc15c,1,2
1,SSCP-39afbc6049a8dce6,1,2
1,SSCP-3a3ce08869dac8a4,1,2
1,SSCP-3aaeaae989b21914,1,2
1,SSCP-3ada726763eb0073,1,2
1,SSCP-3b32040ea77dbfea,1,2
1,SSCP-3b420bf37bd4f180,1,2
1,SSCP-3b556f0314eb812c,1,2
1,SSCP-3b5914f9431c2bdb,1,2
1,SSCP-3b601706fe596645,1,2
1,SSCP-3bbde4e097d41786,1,2
1,SSCP-3c033c1c34cec44b,1,2
1,SSCP-3c0bf9e86e3df428,1,2
1,SSCP-3c30cce22edcfbd4,1,2
1,SSCP-3c7908e2671e147e,1,2
1,SSCP-3c93b2ae614fed5a,1,2
1,SSCP-3ce7d61ec6b0ee11,1,2
1,SSCP-3d47629c5c4ef604,1,2
1,SSCP-3ddf6d5f3f9e0bed,1,2
1,SSCP-3e6928379452ca8b,1,2
1,SSCP-3ed55a8496f0e0d2,1,2
1,SSCP-3edb3e7ba043706f,1,2
1,SSCP-3eef56a53b977bcb,1,2
1,SSCP-3f2554a5fe967d17,1,2
1,SSCP-3f5b4c3a2c7e0ff7,1,2
1,SSCP-3f768071522399ed,1,2
1,SSCP-3f8b7bc0c1c15eec,1,2
1,SSCP-3f9b43ace722d719,1,2
1,SSCP-3fcd0d803ad880ad,1,2
1,SSCP-3fe73c2d79ef40c6,1,2
1,SSCP-4198da62d8056056,1,2
1,SSCP-419ed2b2aeb8ded2,1,2
1,SSCP-41a5353baf98d45c,1,2
1,SSCP-41dc8b4dd905e546,1,2
1,SSCP-4212360ec445a251,1,2
1,SSCP-422821ced2847995,1,2
1,SSCP-422bb7b082ccf0ee,1,2
1,SSCP-426a8688ea8fe2d1,1,2
1,SSCP-429608d038df84cc,1,2
1,SSCP-42c942a3ea245a56,1,2
1,SSCP-42df823fdbc96f09,1,2
1,SSCP-43003115d1c522e5,1,2
1,SSCP-431bd177f83b448d,1,2
1,SSCP-4320b7c1140732b3,1,2
1,SSCP-4343b00a7b893736,1,2
1,SSCP-43f049d9f0db625a,1,2
1,SSCP-4495a2c0021ca5a1,1,2
1,SSCP-450da5cd272fa851,1,2
1,SSCP-45c050e7329d400e,1,2
1,SSCP-45d66c23109777f9,1,2
1,SSCP-46183841a4e007c7,1,2
1,SSCP-461bd6e1f61903c1,1,2
1,SSCP-462a6994fc614a30,1,2
1,SSCP-46601e172a97268b,1,2
1,SSCP-469284f85f704f5b,1,2
1,SSCP-46ca62b3be4e2d1c,1,2
1,SSCP-46ce29f2a54f7312,1,2
1,SSCP-4729bb6ffd558bb8,1,2
1,SSCP-4816f9705106251c,1,2
1,SSCP-4823727736167da9,1,2
1,SSCP-4859ce21e4cc472b,1,2
1,SSCP-489a8fe23e8ceb73,1,2
1,SSCP-49758e93c49d80bd,1,2
1,SSCP-497d85f71d8c8896,1,2
1,SSCP-498596ab6fa63045,1,2
1,SSCP-49e998bcf838cab9,1,2
1,SSCP-4a557efd8da8a111,1,2
1,SSCP-4a861c730d304257,1,2
1,SSCP-4a8679dfc3bf70e4,1,2
1,SSCP-4a9a7ec15a52be42,1,2
1,SSCP-4adb81fc451ecb7f,1,2
1,SSCP-4ae6763dd9b35293,1,2
1,SSCP-4b10bd5af59929f6,1,2
1,SSCP-4b2504a526d7883d,1,2
1,SSCP-4b38f5f47f7c45e9,1,2
1,SSCP-4b6be914a5a306df,1,2
1,SSCP-4bf7514686600aea,1,2
1,SSCP-4c3055539be088e3,1,2
1,SSCP-4c5229443395b3ec,1,2
1,SSCP-4c6aabb81b471fab,1,2
1,SSCP-4c767d3e08d6b584,1,2
1,SSCP-4ca0c2846a89ef12,1,2
1,SSCP-4cdbbb85f00dc345,1,2
1,SSCP-4cfb0575170696cc,1,2
1,SSCP-4d1dde8872f0ef29,1,2
1,SSCP-4da0a49df49eb936,1,2
1,SSCP-4dbc2aeae7783ab9,1,2
1,SSCP-4e0a5c1fefd72716,1,2
1,SSCP-4e0d8bcf0338d211,1,2
1,SSCP-4e35a4d81eb62613,1,2
1,SSCP-4e56a87b4c71a71c,1,2
1,SSCP-4e62bc6e78e44920,1,2
1,SSCP-4e77eb8984061552,1,2
1,SSCP-4f1202d106592234,1,2
1,SSCP-4f24fe3a72b1a0de,1,2
1,SSCP-4f81a8724ad21e0b,1,2
1,SSCP-4f875ac6a597e2bc,1,2
1,SSCP-4f9397efa7487a4f,1,2
1,SSCP-4f9e42dff49a4d23,1,2
1,SSCP-4feeac3b931c561f,1,2
1,SSCP-4ffe1f6326be1ad0,1,2
1,SSCP-50160d2ae305b2fa,1,2
1,SSCP-50253b2828d85a1d,1,2
1,SSCP-5026178c8874b7db,1,2
1,SSCP-50604013c999f1e1,1,2
1,SSCP-50777b93424adb5b,1,2
1,SSCP-50884a9d0655873e,1,2
1,SSCP-50daba5b47fbb664,1,2
1,SSCP-50edccc0566bbc85,1,2
1,SSCP-513b61cc7e2bce45,1,2
1,SSCP-51f47d48a7bf6ea1,1,2
1,SSCP-522ec085f4a931c7,1,2
1,SSCP-525b502641bc780b,1,2
1,SSCP-528827cc1aa4e8ef,1,2
1,SSCP-52a8e54fe6382d8e,1,2
1,SSCP-52c826c56766729c,1,2
1,SSCP-52de642b5f81451d,1,2
1,SSCP-530cb2585f07eb3d,1,2
1,SSCP-5318ef170d612460,1,2
1,SSCP-53556d9e199c2783,1,2
1,SSCP-5359503f502a7837,1,2
1,SSCP-53ba5b9df4859d49,1,2
1,SSCP-53bffbe1a720dd64,1,2
1,SSCP-540bd08b709917ab,1,2
1,SSCP-541b16490db2cb7f,1,2
1,SSCP-5452121b69f3b7c7,1,2
1,SSCP-54544253045000f5,1,2
1,SSCP-5482ec0d545df370,1,2
1,SSCP-54b4f32fb4363334,1,2
1,SSCP-54c463380cf7700f,1,2
1,SSCP-54e34786050c0ff4,1,2
1,SSCP-54fc17255363cb28,1,2
1,SSCP-54ffe8422552c6fe,1,2
1,SSCP-5542d5eb52c4fb97,1,2
1,SSCP-554b3ff4937a7fc0,1,2
1,SSCP-554c3082bfde7d60,1,2
1,SSCP-55707e3e6d5ae29a,1,2
1,SSCP-55e8abfa3a4daff6,1,2
1,SSCP-562096e736165653,1,2
1,SSCP-562f3d62e4e9dab0,1,2
1,SSCP-56371d72e370d026,1,2
1,SSCP-56dce2a86bc42d77,1,2
1,SSCP-5740f52cc765c71a,1,2
1,SSCP-574da1376a003674,1,2
1,SSCP-578e91018895358a,1,2
1,SSCP-57dee76443273673,1,2
1,SSCP-58006b1ce4370048,1,2
1,SSCP-5852b8c64a81dd17,1,2
1,SSCP-5865ded4b3063db4,1,2
1,SSCP-589ea22a02be9617,1,2
1,SSCP-58a4114ba572beb5,1,2
1,SSCP-58adeb3cb5243e37,1,2
1,SSCP-59123c7fc16ec1ef,1,2
1,SSCP-591304ef46df433a,1,2
1,SSCP-59a803a54be3362d,1,2
1,SSCP-59d921e53c01aabd,1,2
1,SSCP-59fcbc17c2345f25,1,2
1,SSCP-5a1904ecb5927977,1,2
1,SSCP-5a4928104da0a537,1,2
1,SSCP-5a60ad87d2c0f134,1,2
1,SSCP-5a639844aac6f29d,1,2
1,SSCP-5b24e2649cd1f894,1,2
1,SSCP-5b28e7478c7e207a,1,2
1,SSCP-5b6d8656ffbe597d,1,2
1,SSCP-5baed7a4bdaeeb06,1,2
1,SSCP-5c0bbf368d1a5dc9,1,2
1,SSCP-5c0c81664d1cf8a6,1,2
1,SSCP-5c3efbc0b23ee0f6,1,2
1,SSCP-5c8c44e56e27e97f,1,2
1,SSCP-5c96652426825453,1,2
1,SSCP-5c9c55ed039d50c9,1,2
1,SSCP-5ccce97b7c1f7330,1,2
1,SSCP-5d14256d9aa46d5e,1,2
1,SSCP-5d33dd8944028e59,1,2
1,SSCP-5d4c9c0c457a493c,1,2
1,SSCP-5dab76094490fa5d,1,2
1,SSCP-5dfd06d01a9e1565,1,2
1,SSCP-5e0347e0880e8806,1,2
1,SSCP-5e506d8ce4c76051,1,2
1,SSCP-5e5e8eefd65eabcb,1,2
1,SSCP-5e7f6ad4327cfc6f,1,2
1,SSCP-5ebeb28b2054e763,1,2
1,SSCP-5ed15297491cbaef,1,2
1,SSCP-5ef9857c0fc84433,1,2
1,SSCP-5f3dba66293f45c2,1,2
1,SSCP-5f6d77021b416e63,1,2
1,SSCP-5fc121e1e714bc53,1,2
1,SSCP-5fcb889fcda40027,1,2
1,SSCP-5fe21bf9816270d6,1,2
1,SSCP-60364f227748892c,1,2
1,SSCP-606cff152a09decb,1,2
1,SSCP-611e12a89f27977c,1,2
1,SSCP-6135ee294223c574,1,2
1,SSCP-614085fb10e4c111,1,2
1,SSCP-614561ffab21e033,1,2
1,SSCP-62170065ded4bfc9,1,2
1,SSCP-625cdb236aeddc96,1,2
1,SSCP-62a8f82ad97cdd43,1,2
1,SSCP-63906b90876fab86,1,2
1,SSCP-639f58a38fe0aee8,1,2
1,SSCP-640159165ebd253a,1,2
1,SSCP-64098ca175195edc,1,2
1,SSCP-6420ee3bdfdaeb36,1,2
1,SSCP-64336101efb893f9,1,2
1,SSCP-643561d7f8993049,1,2
1,SSCP-64896f28a7c09573,1,2
1,SSCP-6504c9de9fe84e5e,1,2
1,SSCP-6508bc8e874b5171,1,2
1,SSCP-650f14e70d88d5b0,1,2
1,SSCP-654d94c31b5c69f2,1,2
1,SSCP-656db08078cff6ce,1,2
1,SSCP-65747dc66b4dcd12,1,2
1,SSCP-65b63834cd7ea272,1,2
1,SSCP-65cd54f0f99fc83d,1,2
1,SSCP-65d8857f64e211be,1,2
1,SSCP-6612a9d7f70449f1,1,2
1,SSCP-665aee58f9744b1b,1,2
1,SSCP-667f3ccbfb92d232,1,2
1,SSCP-6693bee5ba041145,1,2
1,SSCP-66f6944ee01429d4,1,2
1,SSCP-6712a28ef7fd2fbf,1,2
1,SSCP-671405231cc2a8a4,1,2
1,SSCP-672b66a67d7ddd56,1,2
1,SSCP-672f5d3a52344363,1,2
1,SSCP-6731f2c1c6342791,1,2
1,SSCP-67f2994fe858dc24,1,2
1,SSCP-681f9ba178f50378,1,2
1,SSCP-684bc7498519ba9d,1,2
1,SSCP-684d2e5b6afb5b94,1,2
1,SSCP-68938f14a2e702b3,1,2
1,SSCP-68b3acddae3e4dd0,1,2
1,SSCP-6927d7fdfca5685d,1,2
1,SSCP-6976aa466682efee,1,2
1,SSCP-69d508385a1820a4,1,2
1,SSCP-6a0520ca27e8a1fc,1,2
1,SSCP-6a43b65e963493ee,1,2
1,SSCP-6a4c49dabb8dfdd8,1,2
1,SSCP-6aa5cfdd8c475422,1,2
1,SSCP-6b2ff343f9b37210,1,2
1,SSCP-6b43c609cb081b31,1,2
1,SSCP-6b652385b9867dfc,1,2
1,SSCP-6ba328781ddc1bc6,1,2
1,SSCP-6bb7ae1a5c105302,1,2
1,SSCP-6bbf4b42c0a7567c,1,2
1,SSCP-6be461271134484f,1,2
1,SSCP-6bf3c859aa1de00f,1,2
1,SSCP-6c78faa800afc318,1,2
1,SSCP-6cf264218e15c13c,1,2
1,SSCP-6cf31f207f28bc40,1,2
1,SSCP-6cfc0d3edbe3392d,1,2
1,SSCP-6d51854b5b0efa91,1,2
1,SSCP-6dd0131846ffc453,1,2
1,SSCP-6dd15d5127d61b9c,1,2
1,SSCP-6e09883a64596ae4,1,2
1,SSCP-6e3e5e7d32553b51,1,2
1,SSCP-6e56c3c1da28c394,1,2
1,SSCP-6e92aba74f45dd6f,1,2
1,SSCP-6ee4aaff84cea928,1,2
1,SSCP-6ee8d8575443b80f,1,2
1,SSCP-6fb7cfd10038104a,1,2
1,SSCP-6ffbb3ae89401230,1,2
1,SSCP-7015440c071baf91,1,2
1,SSCP-70367f1ea9593d44,1,2
1,SSCP-7063b80f35ef2d8e,1,2
1,SSCP-708aa68b53441465,1,2
1,SSCP-712f96e7b4b6806f,1,2
1,SSCP-71ed918883cc7ff8,1,2
1,SSCP-720d3738f0f507d9,1,2
1,SSCP-725e68767e81495b,1,2
1,SSCP-726de7fc9d6eb279,1,2
1,SSCP-7294b49d4fd6eb04,1,2
1,SSCP-72ada3cf97d49d9a,1,2
1,SSCP-72e713d2d6c369ef,1,2
1,SSCP-72efd2205a24a304,1,2
1,SSCP-73043cf538b3f73b,1,2
1,SSCP-730786f0e9f090b2,1,2
1,SSCP-7314b88f41da371a,1,2
1,SSCP-736248c3c68ca29c,1,2
1,SSCP-73fccea9a0dc11a4,1,2
1,SSCP-744c10e07f2643bd,1,2
1,SSCP-7492c5302281214f,1,2
1,SSCP-74d67319d9bed9dc,1,2
1,SSCP-74dabec5fc831c67,1,2
1,SSCP-754126a0796b9445,1,2
1,SSCP-755f521120cd64ca,1,2
1,SSCP-756a0dc41373284e,1,2
1,SSCP-758a4277342f6e11,1,2
1,SSCP-759c934827490d03,1,2
1,SSCP-75d10bef1e72922a,1,2
1,SSCP-7620225662dad21e,1,2
1,SSCP-76459afbe4253931,1,2
1,SSCP-765e77431f3e03d3,1,2
1,SSCP-768c3899eab5f677,1,2
1,SSCP-768d533d2deebcf7,1,2
1,SSCP-76d779a39de12d6c,1,2
1,SSCP-76d9f40b943bae45,1,2
1,SSCP-7702f36ca15f2cb8,1,2
1,SSCP-770b069541be9fba,1,2
1,SSCP-771b08d38ce337e0,1,2
1,SSCP-7729d4c0408ae2c6,1,2
1,SSCP-774752e59d3a311c,1,2
1,SSCP-775a1009c0e52d63,1,2
1,SSCP-78334550d5421893,1,2
1,SSCP-7872503c77af0713,1,2
1,SSCP-78b2fa62a4b418ab,1,2
1,SSCP-78c0972c61062ddf,1,2
1,SSCP-78ef7b0cb7eb3327,1,2
1,SSCP-791918143f815f1a,1,2
1,SSCP-7924bcf19762f824,1,2
